Transaction ID,Source,Channel,Region,Transaction_revenue
#5692,google,Organic Search,New York,$85.01
#7005,google,Organic Search,Ohio,$85.01
#7355,google,Paid Search,Oklahoma,$85.01
#7649,google,Organic Search,Florida,$85.01
#7702,google,Organic Search,California,$85.01
#7746,google,Organic Search,Massachusetts,$85.01
#7747,google,Organic Search,California,$85.01
#8235,google,Organic Search,Minnesota,$85.01
#8277,google,Organic Search,California,$85.01
#8364,google,Organic Search,Florida,$85.01
#8549,instagram.com,Social,Massachusetts,$85.01
#8718,google,Organic Search,Maine,$85.01
#8424,l.instagram.com,Social,Illinois,$84.88
#8857,google,Organic Search,Florida,$84.74
#6596,pinterest.com,Social,Illinois,$82.35
#8261,Master,Email,Ontario,$82.35
#8404,google,Organic Search,Oregon,$82.35
#1189,checkout.shopify.com,Referral,South Carolina,$79.69
#1512,(direct),Direct,Texas,$79.69
#2677,checkout.shopify.com,Referral,New York,$79.69
#5256,google,Organic Search,Florida,$79.69
#5382,google,Organic Search,California,$79.69
#5808,l.instagram.com,Social,Colorado,$79.69
#6502,google,Organic Search,Maryland,$79.69
#6680,google,Organic Search,Nevada,$79.69
#6748,(direct),Direct,North Carolina,$79.69
#6975,google,Organic Search,Indiana,$79.69
#7071,(direct),Direct,Texas,$79.69
#7091,(direct),Direct,Massachusetts,$79.69
#7147,google,Organic Search,New York,$79.69
#7195,google,Organic Search,District of Columbia,$79.69
#7202,google,Organic Search,Texas,$79.69
#7342,(direct),Direct,Mississippi,$79.69
#7361,l.facebook.com,Social,California,$79.69
#7466,google,Organic Search,Oregon,$79.69
#7518,google,Organic Search,New York,$79.69
#7534,google,Organic Search,California,$79.69
#7556,google,Organic Search,New York,$79.69
#7757,google,Organic Search,Massachusetts,$79.69
#7784,Master,Email,Alberta,$79.69
#7867,google,Organic Search,North Carolina,$79.69
#7977,(direct),Direct,Pennsylvania,$79.69
#8074,google,Organic Search,Virginia,$79.69
#8096,bing,Organic Search,Alabama,$79.69
#8134,pinterest.com,Social,California,$79.69
#8244,m.facebook.com,Social,Texas,$79.69
#8327,google,Organic Search,Montana,$79.69
#8465,google,Organic Search,North Carolina,$79.69
#8553,google,Organic Search,Maryland,$79.69
#8571,google,Paid Search,Illinois,$79.69
#8691,google,Organic Search,Texas,$79.69
#8693,google,Organic Search,Mississippi,$79.69
#8943,Facebook,Social,Louisiana,$79.69
#9035,google,Organic Search,Connecticut,$79.69
#9067,google,Organic Search,Florida,$79.69
#8550,google,Organic Search,Nebraska,$79.56
#5584,google,Organic Search,North Carolina,$77.04
#6702,google,Organic Search,Texas,$77.04
#7644,google,Organic Search,Illinois,$77.04
#7787,google,Organic Search,New York,$77.04
#8627,google,Organic Search,Texas,$77.04
#3247,google,Organic Search,Illinois,$74.38
#4655,google,Organic Search,Ohio,$74.38
#4689,(direct),Direct,Texas,$74.38
#5490,google,Organic Search,Texas,$74.38
#5552,(direct),Direct,Texas,$74.38
#6047,google,Organic Search,California,$74.38
#6542,google,Organic Search,Oklahoma,$74.38
#6838,google,Organic Search,Virginia,$74.38
#6891,(direct),Direct,Texas,$74.38
#6960,google,Organic Search,Indiana,$74.38
#6973,google,Organic Search,Washington,$74.38
#6993,google,Organic Search,Missouri,$74.38
#7059,google,Organic Search,California,$74.38
#7065,google,Organic Search,Virginia,$74.38
#7343,google,Organic Search,Pennsylvania,$74.38
#7459,google,Organic Search,Florida,$74.38
#7462,google,Organic Search,British Columbia,$74.38
#7661,google,Organic Search,California,$74.38
#7759,google,Organic Search,Oklahoma,$74.38
#7792,google,Organic Search,Mississippi,$74.38
#8040,google,Organic Search,British Columbia,$74.38
#8086,google,Organic Search,California,$74.38
#8260,(direct),Direct,New York,$74.38
#8267,google,Organic Search,Nevada,$74.38
#8298,google,Organic Search,New York,$74.38
#8814,google,Organic Search,South Carolina,$74.38
#9122,google,Organic Search,California,$74.25
#7198,Master,Email,Wisconsin,$74.12
#3897,google,Organic Search,Florida,$71.73
#4273,google,Organic Search,Minnesota,$71.73
#7102,bing,Organic Search,New Jersey,$71.73
#7563,google,Organic Search,Texas,$71.73
#7673,(direct),Direct,Texas,$71.73
#9040,google,Organic Search,California,$71.73
#1608,google,Organic Search,Utah,$69.07
#3716,google,Organic Search,Florida,$69.07
#6600,google,Organic Search,Texas,$69.07
#6649,instagram.com,Social,New Jersey,$69.07
#6829,(direct),Direct,Maryland,$69.07
#6832,Pinterest,Social,Texas,$69.07
#6934,(direct),Direct,New York,$69.07
#7313,mail.google.com,Referral,Crete Region,$69.07
#7333,Pinterest,Social,North Carolina,$69.07
#7442,google,Organic Search,New York,$69.07
#7473,(direct),Direct,California,$69.07
#7621,google,Organic Search,New York,$69.07
#7693,google,Organic Search,District of Columbia,$69.07
#7722,google,Organic Search,Illinois,$69.07
#7767,bing,Organic Search,Alabama,$69.07
#7838,Facebook,Social,Pennsylvania,$69.07
#7860,google,Organic Search,Texas,$69.07
#8189,google,Organic Search,New York,$69.07
#8257,m.facebook.com,Social,Florida,$69.07
#8441,google,Organic Search,New Hampshire,$69.07
#8559,Master,Email,California,$69.07
#8867,google,Paid Search,New York,$69.07
#8941,google,Organic Search,California,$69.07
#8962,google,Organic Search,Texas,$69.07
#7115,google,Organic Search,Massachusetts,$66.41
#7418,pinterest.com,Social,Wisconsin,$66.41
#8066,google,Organic Search,Pennsylvania,$66.41
#8093,google,Organic Search,Florida,$66.41
#8127,google,Organic Search,British Columbia,$66.41
#8179,Master,Email,California,$66.41
#8380,google,Organic Search,Florida,$66.41
#8466,google,Organic Search,New Jersey,$66.41
#8473,google,Organic Search,Minnesota,$66.41
#8892,(direct),Direct,Oregon,$66.41
#8936,google,Organic Search,Oregon,$66.41
#8984,(direct),Direct,Oregon,$66.41
#9121,(direct),Direct,Mexico City,$66.41
#1327,(direct),Direct,California,$63.76
#3324,(direct),Direct,New Jersey,$63.76
#3668,google,Organic Search,Virginia,$63.76
#4714,(direct),Direct,Illinois,$63.76
#6507,google,Organic Search,Maryland,$63.76
#6584,google,Organic Search,Wisconsin,$63.76
#6660,google,Organic Search,New York,$63.76
#6696,google,Organic Search,Illinois,$63.76
#6811,google,Organic Search,Florida,$63.76
#6854,google,Organic Search,Georgia,$63.76
#6929,brit.co,Referral,New York,$63.76
#7169,instagram.com,Social,New York,$63.76
#7294,google,Organic Search,New Jersey,$63.76
#7300,(direct),Direct,Pennsylvania,$63.76
#7310,search.xfinity.com,Referral,Colorado,$63.76
#7318,google,Organic Search,California,$63.76
#7327,google,Organic Search,Mississippi,$63.76
#7370,google,Organic Search,Florida,$63.76
#7385,(direct),Direct,Wisconsin,$63.76
#7464,google,Organic Search,Quebec,$63.76
#7477,google,Paid Search,Virginia,$63.76
#7557,google,Organic Search,New Jersey,$63.76
#7567,(direct),Direct,Massachusetts,$63.76
#7626,(direct),Direct,Colorado,$63.76
#7704,google,Organic Search,Georgia,$63.76
#7771,(direct),Direct,District of Columbia,$63.76
#7801,google,Organic Search,Missouri,$63.76
#7802,google,Organic Search,Florida,$63.76
#7858,l.instagram.com,Social,Georgia,$63.76
#7872,google,Organic Search,Maryland,$63.76
#7988,google,Organic Search,Massachusetts,$63.76
#8011,(direct),Direct,California,$63.76
#8195,google,Organic Search,Massachusetts,$63.76
#8201,google,Organic Search,Missouri,$63.76
#8272,google,Organic Search,Florida,$63.76
#8440,google,Organic Search,Texas,$63.76
#8497,pinterest.com,Social,Texas,$63.76
#8515,(direct),Direct,Texas,$63.76
#8544,google,Paid Search,North Carolina,$63.76
#8723,google,Organic Search,Caguas,$63.76
#8728,google,Organic Search,Texas,$63.76
#8759,(direct),Direct,Texas,$63.76
#8914,google,Organic Search,New York,$63.76
#8991,google,Organic Search,Arizona,$63.76
#8994,google,Organic Search,Nebraska,$63.76
#9113,pay.shopify.com,Referral,North Carolina,$63.76
#8847,(direct),Direct,Colorado,$63.62
#7055,google,Paid Search,Florida,$62.96
#6701,(direct),Direct,Wisconsin,$61.10
#7576,google,Paid Search,New York,$61.10
#1933,google,Organic Search,Michigan,$58.44
#4204,pinterest.com,Social,California,$58.44
#5664,google,Organic Search,California,$58.44
#6562,google,Organic Search,Illinois,$58.44
#6656,google,Organic Search,Georgia,$58.44
#6915,l.instagram.com,Social,Ontario,$58.44
#7684,(direct),Direct,Texas,$58.44
#7708,google,Paid Search,South Carolina,$58.44
#7946,l.instagram.com,Social,New York,$58.44
#8050,(direct),Direct,Texas,$58.44
#8279,google,Organic Search,California,$58.44
#8322,google,Organic Search,Louisiana,$58.44
#8368,google,Organic Search,Florida,$58.44
#8707,google,Organic Search,Alajuela Province,$58.44
#8810,google,Organic Search,New York,$58.44
#8877,(direct),Direct,Illinois,$58.44
#8903,(direct),Direct,Florida,$58.44
#8905,(direct),Direct,Florida,$58.44
#8907,(direct),Direct,Florida,$58.44
#8957,(direct),Direct,Florida,$58.44
#9020,(direct),Direct,Florida,$58.44
#9029,(direct),Direct,Maryland,$58.44
#9030,m.facebook.com,Social,Maryland,$58.44
#9038,(direct),Direct,Colorado,$58.44
#7167,bing,Organic Search,Illinois,$58.31
#3414,(direct),Direct,New York,$55.79
#8510,google,Organic Search,California,$55.79
#8580,google,Organic Search,Wisconsin,$54.86
#1035,l.instagram.com,Social,California,$53.13
#1092,(direct),Direct,Texas,$53.13
#1242,(direct),Direct,North Carolina,$53.13
#1250,checkout.shopify.com,Referral,Texas,$53.13
#1253,(direct),Direct,Texas,$53.13
#1271,checkout.shopify.com,Referral,California,$53.13
#1338,pinterest.com,Social,Iowa,$53.13
#1431,(direct),Direct,North Carolina,$53.13
#1454,google,Organic Search,Wisconsin,$53.13
#1634,(direct),Direct,New York,$53.13
#2047,(direct),Direct,Pennsylvania,$53.13
#2052,(direct),Direct,Pennsylvania,$53.13
#2067,checkout.shopify.com,Referral,Pennsylvania,$53.13
#2821,(direct),Direct,Ontario,$53.13
#3817,google,Organic Search,California,$53.13
#4083,pinterest.com,Social,District of Columbia,$53.13
#4277,pinterest.com,Social,California,$53.13
#6551,(direct),Direct,Alberta,$53.13
#6565,m.facebook.com,Social,Illinois,$53.13
#6623,google,Organic Search,Colorado,$53.13
#6659,m.facebook.com,Social,Illinois,$53.13
#6672,m.facebook.com,Social,Illinois,$53.13
#6673,(direct),Direct,Illinois,$53.13
#6676,l.facebook.com,Social,Florida,$53.13
#6679,facebook.com,Social,Illinois,$53.13
#6693,(direct),Direct,Florida,$53.13
#6698,facebook.com,Social,Illinois,$53.13
#6703,google,Organic Search,Texas,$53.13
#6753,facebook.com,Social,South Carolina,$53.13
#6775,m.facebook.com,Social,Illinois,$53.13
#6804,m.facebook.com,Social,Illinois,$53.13
#6810,facebook.com,Social,Illinois,$53.13
#6855,Master,Email,Texas,$53.13
#6859,google,Organic Search,Minnesota,$53.13
#6874,google,Organic Search,Illinois,$53.13
#6991,google,Organic Search,Idaho,$53.13
#6997,google,Organic Search,New Hampshire,$53.13
#7032,(direct),Direct,Washington,$53.13
#7034,pinterest.com,Social,Colorado,$53.13
#7035,(direct),Direct,Pennsylvania,$53.13
#7149,Facebook,Social,Idaho,$53.13
#7163,(direct),Direct,Idaho,$53.13
#7165,Master,Email,Georgia,$53.13
#7191,Facebook,Social,Washington,$53.13
#7203,google,Organic Search,Kansas,$53.13
#7278,(direct),Direct,California,$53.13
#7291,google,Paid Search,New York,$53.13
#7293,Facebook,Social,California,$53.13
#7349,pinterest.com,Social,South Carolina,$53.13
#7400,google,Organic Search,Massachusetts,$53.13
#7495,(direct),Direct,Maryland,$53.13
#7527,google,Organic Search,California,$53.13
#7533,google,Organic Search,Washington,$53.13
#7548,google,Organic Search,New York,$53.13
#7565,google,Organic Search,New York,$53.13
#7620,google,Organic Search,New York,$53.13
#7681,Master,Email,Arizona,$53.13
#7856,Master,Email,Florida,$53.13
#7894,google,Organic Search,British Columbia,$53.13
#7914,google,Organic Search,Virginia,$53.13
#8208,google,Organic Search,California,$53.13
#8314,google,Paid Search,Louisiana,$53.13
#8341,google,Organic Search,Maryland,$53.13
#8401,google,Organic Search,Tennessee,$53.13
#8403,google,Organic Search,New York,$53.13
#8967,google,Paid Search,Michigan,$53.13
#9003,(direct),Direct,Massachusetts,$53.13
#7779,(direct),Direct,Iowa,$53.00
#7780,(direct),Direct,Illinois,$53.00
#7092,google,Paid Search,Illinois,$52.86
#8963,yahoo,Organic Search,California,$52.86
#7214,google,Organic Search,Colorado,$50.47
#8598,linktr.ee,Referral,Texas,$50.47
#9005,google,Organic Search,Maryland,$50.47
#1321,google,Organic Search,Illinois,$47.82
#3177,(direct),Direct,Texas,$47.82
#3763,google,Organic Search,Ohio,$47.82
#3785,google,Organic Search,Connecticut,$47.82
#5954,google,Organic Search,Illinois,$47.82
#6519,google,Organic Search,Texas,$47.82
#6593,(direct),Direct,New York,$47.82
#6652,google,Organic Search,Oregon,$47.82
#6743,google,Organic Search,Texas,$47.82
#6796,google,Organic Search,New York,$47.82
#7094,(direct),Direct,New York,$47.82
#7127,google,Organic Search,Virginia,$47.82
#7131,(direct),Direct,Alaska,$47.82
#7580,google,Organic Search,Victoria,$47.82
#7585,Master,Email,Texas,$47.82
#7707,google,Paid Search,Georgia,$47.82
#7732,google,Organic Search,Florida,$47.82
#7798,(direct),Direct,California,$47.82
#7901,google,Organic Search,Colorado,$47.82
#8084,us15.admin.mailchimp.com,Referral,Texas,$47.82
#8210,weddingforward.com,Referral,New York,$47.82
#8220,google,Organic Search,California,$47.82
#8311,google,Organic Search,California,$47.82
#8408,google,Organic Search,Florida,$47.82
#8438,(direct),Direct,Texas,$47.82
#8562,Master,Email,Mississippi,$47.82
#8634,pay.shopify.com,Referral,Alabama,$47.82
#8708,pay.shopify.com,Referral,California,$47.82
#8770,Master,Email,California,$47.82
#8904,pinterest.com,Social,South Carolina,$47.82
#9007,google,Organic Search,Illinois,$47.82
#9050,(direct),Direct,North Carolina,$47.82
#9057,google,Organic Search,California,$47.82
#9119,google,Organic Search,California,$47.82
#8422,Master,Email,California,$47.68
#8603,google,Organic Search,Texas,$47.02
#7120,searchencrypt.com,Referral,Illinois,$45.16
#7161,(direct),Direct,Michigan,$45.16
#7261,Master,Email,Illinois,$45.16
#7286,google,Paid Search,California,$45.16
#7558,google,Organic Search,Texas,$45.16
#8225,google,Organic Search,Pennsylvania,$45.16
#8507,(direct),Direct,Virginia,$45.16
#8537,linktr.ee,Referral,Alabama,$45.16
#8695,linktr.ee,Referral,California,$45.16
#8869,pay.shopify.com,Referral,Mississippi,$45.16
#7488,(direct),Direct,New York,$45.03
#7491,(direct),Direct,New York,$45.03
#7496,google,Organic Search,New York,$45.03
#7597,(direct),Direct,Washington,$45.03
#7770,(direct),Direct,California,$45.03
#7981,google,Organic Search,California,$45.03
#8102,m.facebook.com,Social,Washington,$45.03
#8160,(direct),Direct,California,$45.03
#8174,(direct),Direct,South Carolina,$45.03
#1443,google,Organic Search,Arizona,$42.50
#6646,google,Organic Search,California,$42.50
#6744,google,Organic Search,Tennessee,$42.50
#7232,google,Organic Search,Texas,$42.50
#7638,(direct),Direct,Pennsylvania,$42.50
#7939,google,Organic Search,New York,$42.50
#8185,(direct),Direct,Michigan,$42.50
#8354,google,Organic Search,Florida,$42.50
#8357,google,Organic Search,New Jersey,$42.50
#8362,google,Organic Search,Alabama,$42.50
#8579,pinterest.com,Social,Texas,$42.50
#8632,google,Organic Search,California,$42.50
#8738,google,Paid Search,Rhode Island,$42.50
#9025,google,Organic Search,Minnesota,$42.50
#1061,google,Organic Search,Texas,$39.85
#5672,google,Organic Search,California,$39.85
#6654,l.instagram.com,Social,Virginia,$39.85
#6770,google,Organic Search,Ontario,$39.85
#6940,pinterest.com,Social,Ohio,$39.85
#7037,google,Organic Search,Massachusetts,$39.85
#7041,(direct),Direct,Massachusetts,$39.85
#7263,google,Organic Search,New York,$39.85
#7335,(direct),Direct,Illinois,$39.85
#7616,google,Organic Search,Illinois,$39.85
#7712,google,Organic Search,British Columbia,$39.85
#7717,(direct),Direct,California,$39.85
#9102,Sumo,Email,Wyoming,$39.18
#1978,google,Organic Search,Florida,$37.19
#6799,Master,Email,Texas,$37.19
#6946,google,Organic Search,Tennessee,$37.19
#6977,google,Organic Search,Tennessee,$37.19
#7076,google,Organic Search,Illinois,$37.19
#7082,l.instagram.com,Social,Illinois,$37.19
#8024,google,Organic Search,California,$37.19
#8032,(direct),Direct,New York,$34.53
#8949,google,Organic Search,Texas,$34.53
#1215,pinterest.com,Social,California,$31.88
#1387,(direct),Direct,Alabama,$31.88
#2401,pinterest.com,Social,Attica,$31.88
#3149,(direct),Direct,Ontario,$31.88
#3162,pinterest.com,Social,Pennsylvania,$31.88
#3452,google,Organic Search,Massachusetts,$31.88
#3570,google,Organic Search,New Jersey,$31.88
#4084,google,Organic Search,Florida,$31.88
#4543,pinterest.com,Social,New York,$31.88
#4786,google,Organic Search,Maryland,$31.88
#4899,google,Organic Search,Quebec,$31.88
#6555,google,Organic Search,Texas,$31.88
#6728,google,Paid Search,Illinois,$31.88
#6910,(direct),Direct,Florida,$31.88
#7001,google,Organic Search,Texas,$31.88
#7010,google,Organic Search,Michigan,$31.88
#7081,instagram.com,Social,Illinois,$31.88
#7083,Facebook,Social,California,$31.88
#7150,(direct),Direct,Pennsylvania,$31.88
#7285,google,Organic Search,Kentucky,$31.88
#7303,(direct),Direct,Washington,$31.88
#7316,google,Organic Search,Tennessee,$31.88
#7323,(direct),Direct,Nebraska,$31.88
#7336,google,Organic Search,Georgia,$31.88
#7359,l.facebook.com,Social,Illinois,$31.88
#7369,pinterest.com,Social,Ohio,$31.88
#7455,google,Organic Search,Pennsylvania,$31.88
#7465,google,Organic Search,New Jersey,$31.88
#7506,google,Paid Search,Tennessee,$31.88
#7618,Facebook,Social,California,$31.88
#7705,google,Organic Search,Minnesota,$31.88
#7740,google,Organic Search,California,$31.88
#7774,google,Organic Search,Quebec,$31.88
#7845,google,Organic Search,Michigan,$31.88
#7899,(direct),Direct,District of Columbia,$31.88
#7917,google,Organic Search,California,$31.88
#7926,bing,Organic Search,Virginia,$31.88
#7964,google,Organic Search,Nevada,$31.88
#7980,google,Organic Search,Ohio,$31.88
#7985,pinterest.com,Social,Minnesota,$31.88
#8007,google,Organic Search,California,$31.88
#8079,google,Organic Search,Florida,$31.88
#8087,google,Organic Search,California,$31.88
#8117,google,Organic Search,California,$31.88
#8118,Master,Email,District of Columbia,$31.88
#8155,google,Organic Search,Illinois,$31.88
#8171,google,Organic Search,Arizona,$31.88
#8196,google,Organic Search,Texas,$31.88
#8204,google,Organic Search,Saskatchewan,$31.88
#8248,google,Organic Search,Florida,$31.88
#8266,google,Organic Search,Texas,$31.88
#8270,google,Organic Search,New York,$31.88
#8290,google,Organic Search,Illinois,$31.88
#8296,google,Organic Search,California,$31.88
#8334,google,Organic Search,Georgia,$31.88
#8343,google,Organic Search,South Carolina,$31.88
#8346,google,Organic Search,New Jersey,$31.88
#8389,google,Organic Search,Colorado,$31.88
#8398,google,Organic Search,New York,$31.88
#8439,google,Organic Search,New Jersey,$31.88
#8496,pinterest.com,Social,Louisiana,$31.88
#8567,Facebook,Social,California,$31.88
#8585,google,Organic Search,Virginia,$31.88
#8599,(direct),Direct,Florida,$31.88
#8633,pinterest.com,Social,Alabama,$31.88
#8635,pinterest.com,Social,Colorado,$31.88
#8651,google,Organic Search,California,$31.88
#8687,Pinterest,Social,Texas,$31.88
#8721,pay.shopify.com,Referral,Texas,$31.88
#8744,google,Organic Search,Texas,$31.88
#8747,google,Organic Search,District of Columbia,$31.88
#8769,google,Organic Search,Texas,$31.88
#8784,pinterest.com,Social,California,$31.88
#8802,google,Paid Search,Missouri,$31.88
#8818,google,Paid Search,New York,$31.88
#8918,(direct),Direct,California,$31.88
#8938,(direct),Direct,Wisconsin,$31.88
#8958,(direct),Direct,Oregon,$31.88
#9034,google,Paid Search,New York,$31.88
#9060,(direct),Direct,California,$31.88
#9127,Pinterest,Social,South Carolina,$31.88
#6536,(direct),Direct,Kansas,$26.56
#6617,Master,Email,Illinois,$26.56
#6863,google,Organic Search,Washington,$26.56
#6949,pinterest.com,Social,Georgia,$26.56
#7320,google,Organic Search,Texas,$26.56
#7426,google,Paid Search,Kentucky,$26.56
#7443,google,Organic Search,California,$26.56
#7463,(direct),Direct,California,$26.56
#7509,google,Organic Search,Georgia,$26.56
#8147,bing,Organic Search,Nevada,$26.56
#8209,google,Organic Search,Texas,$26.56
#8971,google,Paid Search,Minnesota,$26.56
#7695,google,Organic Search,California,$23.91
#8119,google,Organic Search,Texas,$23.91
#7072,(direct),Direct,Arizona,$21.25
#7184,(direct),Direct,New York,$21.25
#7895,google,Organic Search,New York,$21.25
#8826,google,Organic Search,Texas,$21.25
#7832,(direct),Direct,North Carolina,$18.60
#8000,google,Organic Search,South Carolina,$18.60
#8110,google,Organic Search,California,$18.60
#8733,google,Organic Search,New York,$18.60
#8823,google,Organic Search,South Carolina,$18.60
#1066,yahoo,Organic Search,Louisiana,$15.94
#2913,(direct),Direct,Tennessee,$15.94
#3195,(direct),Direct,Washington,$15.94
#3629,(direct),Direct,North Carolina,$15.94
#3833,pinterest.com,Social,Missouri,$15.94
#6987,(direct),Direct,Texas,$15.94
#7881,google,Organic Search,Pennsylvania,$15.94
#8010,Master,Email,Pennsylvania,$15.94
#8078,google,Organic Search,Connecticut,$15.94
#8098,google,Organic Search,Alabama,$15.94
#8743,Pinterest,Social,Florida,$15.94
#8776,(direct),Direct,Tel Aviv District,$15.94
#8648,google,Organic Search,Georgia,$15.81
#7225,instagram.com,Social,Florida,$10.63
#7354,google,Paid Search,Oklahoma,$10.63
#7848,(direct),Direct,Texas,$10.63
#8083,powr.io,Referral,Texas,$10.63
#8479,google,Organic Search,Alabama,$10.63
#7177,google,Organic Search,California,$10.49
#7220,google,Organic Search,Colorado,$10.49
#8698,(direct),Direct,Texas,$10.49
